Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Annual Avg)
P1,62400.0,156000.0,603200.0,332800.0,109200.0,0.0,0.0,156000.0,0.0,1419600.0
P2,249600.0,0.0,301600.0,166400.0,0.0,0.0,0.0,78000.0,0.0,795600.0
P3,0.0,0.0,0.0,332800.0,109200.0,156000.0,208000.0,78000.0,0.0,884000.0
P4,0.0,78000.0,301600.0,166400.0,0.0,0.0,0.0,0.0,0.0,546000.0
P5,0.0,78000.0,301600.0,0.0,0.0,78000.0,52000.0,0.0,0.0,509600.0
P6,62400.0,0.0,0.0,0.0,218400.0,0.0,0.0,234000.0,0.0,514800.0
P7,0.0,312000.0,0.0,0.0,436800.0,0.0,52000.0,78000.0,0.0,878800.0
P8,0.0,0.0,0.0,332800.0,0.0,156000.0,104000.0,234000.0,0.0,826800.0
P9,0.0,156000.0,301600.0,0.0,0.0,78000.0,104000.0,0.0,0.0,639600.0
P10,62400.0,0.0,150800.0,83200.0,0.0,0.0,0.0,78000.0,0.0,374400.0
P11,124800.0,0.0,0.0,0.0,436800.0,312000.0,104000.0,0.0,0.0,977600.0
P12,249600.0,0.0,0.0,0.0,436800.0,234000.0,208000.0,0.0,0.0,1128400.0
P13,124800.0,0.0,0.0,0.0,218400.0,156000.0,52000.0,0.0,0.0,551200.0
P14,0.0,312000.0,301600.0,166400.0,218400.0,0.0,0.0,312000.0,0.0,1310400.0
P15,0.0,0.0,0.0,166400.0,0.0,156000.0,0.0,78000.0,0.0,400400.0
P16,0.0,78000.0,603200.0,0.0,0.0,0.0,0.0,0.0,0.0,681200.0
P17,124800.0,0.0,0.0,0.0,218400.0,156000.0,104000.0,78000.0,0.0,681200.0
P18,249600.0,78000.0,0.0,0.0,436800.0,78000.0,156000.0,0.0,0.0,998400.0
P19,0.0,156000.0,603200.0,332800.0,109200.0,0.0,0.0,234000.0,0.0,1435200.0
P20,0.0,156000.0,452400.0,249600.0,0.0,0.0,0.0,312000.0,0.0,1170000.0
