Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,A1_GrossMin,A2_GrossMin,A3_GrossMin,B1_GrossMin,B2_GrossMin,A4_GrossMin,B3_GrossMin,B4_GrossMin,A5_GrossMin,Total Weekly Robust Units,Total Weekly Robust Gross Minutes
P1,1421.699090365843,3554.247725914607,13743.091206869814,7582.395148617828,2487.9734081402253,0.0,0.0,3554.247725914607,0.0,20551.772564812356,51379.43141203089,198667.13479318607,109609.45367899921,35965.60198842162,0.0,0.0,51379.43141203089,0.0,32343.65430582292,467552.82584948104
P2,5732.017575564303,0.0,6926.1879038068655,3821.345050376202,0.0,0.0,0.0,1791.2554923638445,0.0,50366.36758574076,0.0,60859.36083277008,33577.578390493836,0.0,0.0,0.0,15739.489870543985,0.0,18270.806022111217,160542.7966795487
P3,0.0,0.0,0.0,7545.973520389303,2476.02256137774,3537.1750876824863,4716.233450243315,1768.5875438412431,0.0,0.0,0.0,0.0,81277.49256655145,26669.177248399694,38098.824640570994,50798.432854094666,19049.412320285497,0.0,20043.99216353409,215893.33962990227
P4,0.0,1846.5844671348498,7140.126606254753,3939.380196554346,0.0,0.0,0.0,0.0,0.0,0.0,15702.2488701943,60715.362298084634,33498.130923081175,0.0,0.0,0.0,0.0,0.0,12926.091269943949,109915.74209136011
P5,0.0,1842.051108174116,7122.597618273248,0.0,0.0,1842.051108174116,1228.0340721160774,0.0,0.0,0.0,15663.699899439762,60566.30627783374,0.0,0.0,15663.699899439762,10442.466599626508,0.0,0.0,12034.73390673756,102336.17267633977
P6,1471.533509264388,0.0,0.0,0.0,5150.367282425358,0.0,0.0,5518.250659741455,0.0,17518.256062671284,0.0,0.0,0.0,61313.8962193495,0.0,0.0,65693.46023501732,0.0,12140.1514514312,144525.61251703813
P7,0.0,7328.926308964246,0.0,0.0,10260.496832549943,0.0,1221.4877181607076,1832.2315772410616,0.0,0.0,83094.40259596652,0.0,0.0,116332.1636343531,0.0,13849.06709932775,20773.60064899163,0.0,20643.14243691596,234049.23397863898
P8,0.0,0.0,0.0,7638.595429839732,0.0,3580.5916077373745,2387.0610718249163,5370.8874116060615,0.0,0.0,0.0,0.0,41137.56042147248,0.0,19283.231447565227,12855.48763171015,28924.847171347836,0.0,18977.135521008084,102201.12667209569
P9,0.0,3609.1742954407205,6977.736971185393,0.0,0.0,1804.5871477203602,2406.11619696048,0.0,0.0,0.0,34782.29196286409,67245.76446153723,0.0,0.0,17391.145981432044,23188.194641909387,0.0,0.0,14797.614611306954,142607.39704774274
P10,1427.945562752404,0.0,3450.86844331831,1903.9274170032054,0.0,0.0,0.0,1784.931953440505,0.0,10523.408342279621,0.0,25431.570160509084,14031.211123039495,0.0,0.0,0.0,13154.260427849526,0.0,8567.673376514424,63140.45005367773
P11,2891.8084620899285,0.0,0.0,0.0,10121.32961731475,7229.521155224821,2409.84038507494,0.0,0.0,13114.777605850017,0.0,0.0,0.0,45901.72162047506,32786.94401462504,10928.981338208345,0.0,0.0,22652.49961970444,102732.42457915845
P12,5700.363515610022,0.0,0.0,0.0,9975.636152317538,5344.090795884395,4750.302929675018,0.0,0.0,38777.98309938791,0.0,0.0,0.0,67861.47042392884,36354.35915567616,32314.985916156587,0.0,0.0,25770.393393486975,175308.79859514948
P13,2867.405714331851,0.0,0.0,0.0,5017.9600000807395,3584.257142914814,1194.7523809716047,0.0,0.0,24382.701652481726,0.0,0.0,0.0,42669.727891843024,30478.37706560216,10159.459021867387,0.0,0.0,12664.375238299008,107690.2656317943
P14,0.0,6982.741461583921,6749.983412864456,3724.1287795114245,4887.919023108744,0.0,0.0,6982.741461583921,0.0,0.0,37605.46705501544,36351.95148651493,20056.24909600824,26323.82693851081,0.0,0.0,37605.46705501544,0.0,29327.51413865247,157942.96163106489
P15,0.0,0.0,0.0,3888.1654563222005,0.0,3645.1551153020628,0.0,1822.5775576510314,0.0,0.0,0.0,0.0,33062.63143131122,0.0,30996.216966854274,0.0,15498.108483427137,0.0,9355.898129275294,79556.95688159263
P16,0.0,1978.4034386646526,15299.653259006647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22430.877989395154,173465.4564513225,0.0,0.0,0.0,0.0,0.0,0.0,17278.0566976713,195896.33444071765
P17,2806.8460491429914,0.0,0.0,0.0,4911.980586000234,3508.557561428739,2339.038374285826,1754.2787807143695,0.0,23072.147229349986,0.0,0.0,0.0,40376.25765136247,28840.184036687482,19226.789357791655,14420.092018343741,0.0,15320.701351572163,125935.47029353534
P18,5724.166351191562,1788.8019847473633,0.0,0.0,10017.291114585234,1788.8019847473633,3577.6039694947267,0.0,0.0,40562.40328225313,12675.751025704105,0.0,0.0,70984.20574394299,12675.751025704105,25351.50205140821,0.0,0.0,22896.665404766245,162249.61312901255
P19,0.0,3561.5490020067664,13771.322807759496,7597.971204281102,2493.0843014047364,0.0,0.0,5342.32350301015,0.0,0.0,42399.39288103293,163944.31913999398,90452.03814620359,29679.57501672305,0.0,0.0,63599.0893215494,0.0,32766.25081846225,390074.41450550297
P20,0.0,3570.9891517716865,10355.868540137892,5713.582642834698,0.0,0.0,0.0,7141.978303543373,0.0,0.0,23280.25807560907,67512.7484192663,37248.41292097451,0.0,0.0,0.0,46560.51615121814,0.0,26782.418638287647,174601.935567068
