Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,A1_GrossMin,A2_GrossMin,A3_GrossMin,B1_GrossMin,B2_GrossMin,A4_GrossMin,B3_GrossMin,B4_GrossMin,A5_GrossMin,Total Weekly Robust Units,Total Weekly Robust Gross Minutes
P1,656.9986286502814,1313.9972573005628,17595.961602207877,11139.972573005627,3170.9958859508442,0.0,0.0,4870.995885950844,0.0,9497.429155658829,18994.858311317657,254363.39050810708,161037.01848732622,45839.22624248669,0.0,0.0,70414.05617445947,0.0,38748.92183306604,560145.978879356
P2,2619.1454676729963,0.0,8767.009136855488,5547.863669182491,0.0,0.0,0.0,2432.1795503773737,0.0,23014.033304382905,0.0,77034.37733631523,48748.23518839491,0.0,0.0,0.0,21371.19219435901,0.0,19366.197824088347,170167.83802345203
P3,0.0,0.0,0.0,10886.70568945681,3133.0058534185214,7443.352844728405,9270.150503360996,2416.502926709261,0.0,0.0,0.0,0.0,117260.43543065725,33745.5278996326,80172.16782870732,99848.55984345743,26028.092748002244,0.0,33149.71781767399,357054.7837504569
P4,0.0,677.564153612301,9085.898150572213,5775.641536123009,0.0,0.0,0.0,0.0,0.0,0.0,5761.599945682831,77261.03869534195,49112.5980962841,0.0,0.0,0.0,0.0,0.0,15539.103840307522,132135.23673730888
P5,0.0,674.7527120475747,9046.537968666045,0.0,0.0,3873.7635602378737,2384.4559665046645,0.0,0.0,0.0,5737.693129656247,76926.34327096977,0.0,0.0,32940.16632855335,20275.98610973354,0.0,0.0,15979.510207456158,135880.1888389129
P6,669.4755237489426,0.0,0.0,0.0,6416.8531424936555,0.0,0.0,7362.639856870242,0.0,7969.946711296935,0.0,0.0,0.0,76391.10883921018,0.0,0.0,87650.47448655049,0.0,14448.968523112839,172011.5300370576
P7,0.0,2676.061296997087,0.0,0.0,12828.183890991262,0.0,2371.833713348398,2453.5229863739078,0.0,0.0,30340.831031713,0.0,0.0,145444.26180262203,0.0,26891.538700095214,27817.720933944533,0.0,20329.601887710654,230494.35246837477
P8,0.0,0.0,0.0,11076.362215379779,0.0,7538.181107689889,4676.799687383551,7292.18149846045,0.0,0.0,0.0,0.0,59651.61057035595,0.0,40596.78034186732,25186.84638897037,39271.95251438451,0.0,30583.52450891367,164707.18981557817
P9,0.0,1317.0504813344385,8819.35336934107,0.0,0.0,3792.6262033360963,4697.511058935765,0.0,0.0,0.0,12692.663368869304,84993.76829863842,0.0,0.0,36550.25252648166,45270.79818702267,0.0,0.0,18626.54111294737,179507.48238101206
P10,656.1343003155439,0.0,4392.940102208807,2780.671501577719,0.0,0.0,0.0,2434.201450473316,0.0,4835.456861735867,0.0,32374.27512965674,20492.477052443504,0.0,0.0,0.0,17939.126335687703,0.0,10263.947354575386,75641.3353795238
P11,1319.5546987607788,0.0,0.0,0.0,12717.328192564673,15195.54698760779,4703.020337273713,0.0,0.0,5984.375051069292,0.0,0.0,0.0,57674.95778940895,68914.04529527342,21328.89041847489,0.0,0.0,33935.450216206955,153902.26855422655
P12,2556.7006073199254,0.0,0.0,0.0,12470.101821959777,11087.627277449721,9224.741336103836,0.0,0.0,17392.521138230786,0.0,0.0,0.0,84830.62463918216,75426.03590101852,62753.34242247508,0.0,0.0,35339.17104283326,240402.52410090654
P13,1306.9304413432237,0.0,0.0,0.0,6320.791324029671,7534.652206716119,2337.623485477546,0.0,0.0,11113.354093054622,0.0,0.0,0.0,53748.22554446999,64070.171825817335,19877.75072684988,0.0,0.0,17499.99745756656,148809.50219019182
P14,0.0,2504.7573966562695,8366.650888296943,5261.893491640674,6157.136094984405,0.0,0.0,9557.136094984404,0.0,0.0,13489.339721221408,45058.49401293705,28337.861774708846,33159.179649859325,0.0,0.0,51469.837246231196,0.0,31847.573966562697,171514.7124049578
P15,0.0,0.0,0.0,5703.816755431083,0.0,7703.816755431083,0.0,2455.5725133146625,0.0,0.0,0.0,0.0,48501.84315842758,0.0,65508.645879516014,0.0,20880.718650634884,0.0,15863.206024176829,134891.2076885785
P16,0.0,748.8593199764472,20168.06095934052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8490.468480458585,228662.82266825988,0.0,0.0,0.0,0.0,0.0,0.0,20916.920279316968,237153.29114871845
P17,1274.0206482669125,0.0,0.0,0.0,6222.061944800738,7370.103241334563,4602.8454261872075,2405.5154862001846,0.0,10472.391950039815,0.0,0.0,0.0,51145.06700658203,60581.91439872515,37835.180657434525,19773.228202892675,0.0,21874.546746789605,179807.7822156742
P18,2545.8321919736804,636.4580479934201,0.0,0.0,12437.496575921043,3682.2902399671007,6900.623116756573,0.0,0.0,18040.194104121885,4510.048526030471,0.0,0.0,88134.18775454254,26093.326530379116,48898.9733330256,0.0,0.0,26202.700172611818,185676.7302480996
P19,0.0,1312.5857114384069,17576.199960137696,11125.857114384067,3168.87856715761,0.0,0.0,7303.3178507364155,0.0,0.0,15626.020374266747,209240.47571592493,132450.67993314366,37724.74484711441,0.0,0.0,86944.26012781447,0.0,40486.83920385419,481986.18099826423
P20,0.0,1311.0976634514936,13166.525466240684,8333.232475886203,0.0,0.0,0.0,9733.292990354481,0.0,0.0,8547.405402319828,85836.19209850786,54326.628952772866,0.0,0.0,0.0,63454.00759017944,0.0,32544.148595932864,212164.23404378002
