Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,A1_GrossMin,A2_GrossMin,A3_GrossMin,B1_GrossMin,B2_GrossMin,A4_GrossMin,B3_GrossMin,B4_GrossMin,A5_GrossMin,Total Weekly Robust Units,Total Weekly Robust Gross Minutes
P1,1771.7660316367078,4724.709417697887,12756.715427784296,6614.593184777043,2126.1192379640493,0.0,0.0,2834.8256506187327,0.0,25612.26406277554,68299.3708340681,184408.30125198388,95619.11916769535,30734.716875330643,0.0,0.0,40979.62250044087,0.0,30828.72895047871,445653.3946922944
P2,7200.740390121916,0.0,6480.666351109725,3360.345515390228,0.0,0.0,0.0,1440.1480780243833,0.0,63271.811817964684,0.0,56944.63063616822,29526.845515050187,0.0,0.0,0.0,12654.362363592938,0.0,18481.900334646252,162397.65033277601
P3,0.0,0.0,0.0,6653.553380147591,2138.6421579045827,2376.2690643384253,2376.2690643384253,1425.7614386030552,0.0,0.0,0.0,0.0,71665.25749592077,23035.26133797453,25594.734819971698,25594.734819971698,15356.840891983022,0.0,14970.495105332078,161246.8293658217
P4,0.0,2448.4738862695162,6610.879492927695,3427.863440777323,0.0,0.0,0.0,0.0,0.0,0.0,20820.356175761193,56214.96167455523,29148.498646065673,0.0,0.0,0.0,0.0,0.0,12487.216819974534,106183.81649638209
P5,0.0,2470.866434533001,6671.339373239103,0.0,0.0,1235.4332172665006,617.7166086332503,0.0,0.0,0.0,21010.76900113096,56729.0763030536,0.0,0.0,10505.38450056548,5252.69225028274,0.0,0.0,10995.355633671856,93497.92205503277
P6,1826.8743463030428,0.0,0.0,0.0,4384.498431127303,0.0,0.0,4384.498431127303,0.0,21748.50412265527,0.0,0.0,0.0,52196.40989437266,0.0,0.0,52196.40989437266,0.0,10595.871208557648,126141.32391140058
P7,0.0,9833.12912761402,0.0,0.0,8849.816214852619,0.0,614.5705704758763,1474.969369142103,0.0,0.0,111486.72480288004,0.0,0.0,100338.05232259205,0.0,6967.920300180002,16723.008720432008,0.0,20772.485282084617,235515.7061460841
P8,0.0,0.0,0.0,6751.476656426288,0.0,2411.2416630093885,1205.6208315046943,4340.2349934169,0.0,0.0,0.0,0.0,36359.99333109395,0.0,12985.711903962127,6492.855951981063,23374.281427131828,0.0,14708.57414435727,79212.84261416897
P9,0.0,4860.711183566306,6561.9600978145145,0.0,0.0,1215.1777958915766,1215.1777958915766,0.0,0.0,0.0,46843.588503756924,63238.84448007185,0.0,0.0,11710.897125939231,11710.897125939231,0.0,0.0,13853.026873163975,133504.22723570722
P10,1783.442449355347,0.0,3210.1964088396244,1664.5462860649905,0.0,0.0,0.0,1426.7539594842774,0.0,13143.283356927159,0.0,23657.910042468888,12267.064466465348,0.0,0.0,0.0,10514.626685541727,0.0,8084.939103744239,59582.88455140312
P11,3622.0058770589976,0.0,0.0,0.0,8692.814104941594,4829.341169411997,1207.3352923529992,0.0,0.0,16426.33050820407,0.0,0.0,0.0,39423.19321968977,21901.77401093876,5475.44350273469,0.0,0.0,18351.496443765587,83226.74124156729
P12,7182.528696698603,0.0,0.0,0.0,8619.034436038324,3591.2643483493016,2394.1762322328677,0.0,0.0,48860.73943332383,0.0,0.0,0.0,58632.8873199886,24430.369716661917,16286.913144441278,0.0,0.0,21787.003713319096,148210.9096144156
P13,3602.8770901781936,0.0,0.0,0.0,4323.4525082138325,2401.9180601187954,600.4795150296989,0.0,0.0,30636.709950494842,0.0,0.0,0.0,36764.05194059381,20424.47330032989,5106.118325082472,0.0,0.0,10928.727173540521,92931.35351650101
P14,0.0,9359.660782849469,6317.771028423392,3275.881273997314,4211.847352282261,0.0,0.0,5615.796469709681,0.0,0.0,50406.336415572536,34024.27708051146,17642.217745450387,22682.851387007642,0.0,0.0,30243.801849343523,0.0,28780.956907262116,154999.48447788553
P15,0.0,0.0,0.0,3407.4649521187985,0.0,2433.903537227713,0.0,1460.342122336628,0.0,0.0,0.0,0.0,28975.04210985373,0.0,20696.458649895518,0.0,12417.875189937315,0.0,7301.71061168314,62089.37594968657
P16,0.0,2613.0291104769963,14110.35719657578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29626.18039089565,159981.37411083654,0.0,0.0,0.0,0.0,0.0,0.0,16723.386307052777,189607.55450173217
P17,3528.776416136734,0.0,0.0,0.0,4234.531699364081,2352.5176107578227,1176.2588053789113,1411.5105664546936,0.0,29006.382105432338,0.0,0.0,0.0,34807.658526518804,19337.588070288224,9668.794035144112,11602.552842172934,0.0,12703.595098092243,104422.97557955641
P18,7180.757779084592,2393.5859263615303,0.0,0.0,8616.90933490151,1196.7929631807651,1795.1894447711477,0.0,0.0,50884.05455700533,16961.35151900177,0.0,0.0,61060.86546840639,8480.675759500886,12721.01363925133,0.0,0.0,21183.235448299543,150107.9609431657
P19,0.0,4743.418024326162,12807.228665680637,6640.785234056626,2134.5381109467726,0.0,0.0,4269.076221893545,0.0,0.0,56469.26219435907,152467.0079247695,79056.96707210269,25411.167987461577,0.0,0.0,50822.33597492315,0.0,30595.046256903737,364226.741153616
P20,0.0,4748.838933866868,9616.398841080409,4986.280880560212,0.0,0.0,0.0,5698.606720640241,0.0,0.0,30958.983979290806,62691.94255806389,32506.933178255345,0.0,0.0,0.0,37150.78077514897,0.0,25050.125376147727,163308.64049075902
