Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Weekly Avg)
P1,1500.0,4000.0,10800.0,5600.0,1800.0,0.0,0.0,2400.0,0.0,26100.0
P2,6000.0,0.0,5400.0,2800.0,0.0,0.0,0.0,1200.0,0.0,15400.0
P3,0.0,0.0,0.0,5600.0,1800.0,2000.0,2000.0,1200.0,0.0,12600.0
P4,0.0,2000.0,5400.0,2800.0,0.0,0.0,0.0,0.0,0.0,10200.0
P5,0.0,2000.0,5400.0,0.0,0.0,1000.0,500.0,0.0,0.0,8900.0
P6,1500.0,0.0,0.0,0.0,3600.0,0.0,0.0,3600.0,0.0,8700.0
P7,0.0,8000.0,0.0,0.0,7200.0,0.0,500.0,1200.0,0.0,16900.0
P8,0.0,0.0,0.0,5600.0,0.0,2000.0,1000.0,3600.0,0.0,12200.0
P9,0.0,4000.0,5400.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11400.0
P10,1500.0,0.0,2700.0,1400.0,0.0,0.0,0.0,1200.0,0.0,6800.0
P11,3000.0,0.0,0.0,0.0,7200.0,4000.0,1000.0,0.0,0.0,15200.0
P12,6000.0,0.0,0.0,0.0,7200.0,3000.0,2000.0,0.0,0.0,18200.0
P13,3000.0,0.0,0.0,0.0,3600.0,2000.0,500.0,0.0,0.0,9100.0
P14,0.0,8000.0,5400.0,2800.0,3600.0,0.0,0.0,4800.0,0.0,24600.0
P15,0.0,0.0,0.0,2800.0,0.0,2000.0,0.0,1200.0,0.0,6000.0
P16,0.0,2000.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0
P17,3000.0,0.0,0.0,0.0,3600.0,2000.0,1000.0,1200.0,0.0,10800.0
P18,6000.0,2000.0,0.0,0.0,7200.0,1000.0,1500.0,0.0,0.0,17700.0
P19,0.0,4000.0,10800.0,5600.0,1800.0,0.0,0.0,3600.0,0.0,25800.0
P20,0.0,4000.0,8100.0,4200.0,0.0,0.0,0.0,4800.0,0.0,21100.0
