Part,Annual_Demand_Mean_Units,Annual_Demand_StdDev_Units,Weekly_Demand_Mean_Units,Weekly_Demand_StdDev_Units,Annual_Robust_Demand_99p5_Units,Annual_Robust_Net_Minutes,Annual_Robust_Gross_Minutes,Weekly_Robust_Demand_99p5_Units,Weekly_Robust_Net_Minutes,Weekly_Robust_Gross_Minutes,Total_Minutes_Per_Unit
P1,1482000.0,21079.373804740975,28500.0,2923.1831964486937,1536296.8687467128,19587785.07652059,22208373.10263105,36029.620937054286,459377.66694744217,520836.35708326777,12.75
P2,790400.0,10830.16620371082,15200.0,1501.8738295875592,818296.6594698232,6341799.11089113,7190248.425046632,19068.570620484843,147781.42230875752,167552.63300312645,7.75
P3,1112800.0,14273.839707661005,21400.0,1979.4254216817567,1149566.974593153,10920886.258634953,12381957.209336681,26498.66200535751,251737.28905089633,285416.42749534734,9.5
P4,561600.0,10456.09869884557,10800.0,1450.0000000000002,588533.1254292859,4413998.440719645,5004533.379500731,14534.952490145906,109012.1436760943,123596.53478015227,7.5
P5,556400.0,9297.849213662266,10700.0,1289.3796958227629,580349.6724645303,4352622.543483977,4934946.194426278,14021.22200390124,105159.16502925931,119228.07826446634,7.5
P6,577200.0,4564.263357870578,11100.0,632.9494450586083,588956.7633063175,6184046.014716334,7011390.039360923,12730.369728246978,133668.88214659327,151552.0205743688,10.5
P7,878800.0,8579.772724262573,16900.0,1189.8004034290796,900900.0300009451,9009000.300009452,10214286.054432485,19964.722744526927,199647.22744526927,226357.4007315978,10.0
P8,1019200.0,13491.942039602749,19600.0,1870.9957242067658,1053952.939667392,5006276.463420113,5676050.412040944,24419.365613226484,115991.9866628258,131510.18896011997,4.75
P9,686400.0,9808.159868191384,13200.0,1360.1470508735445,711664.1456023797,6049145.237620227,6858441.312494588,16703.506630775693,141979.8063615934,160974.8371446637,8.5
P10,395200.0,5326.584271369411,7600.0,738.6643351347079,408920.371854016,2657982.417051104,3013585.506860662,9502.673239926446,61767.3760595219,70031.03861623799,6.5
P11,1164800.0,13982.846634358828,22400.0,1939.0719429665317,1200817.4261078115,4803269.704431246,5445884.01862953,27394.718332382694,109578.87332953078,124239.08540763127,4.0
P12,1310400.0,12979.984591670362,25200.0,1800.0,1343834.2246708376,8063005.348025026,9141729.419529507,29836.49274638802,179018.95647832812,202969.33841080285,6.0
P13,629200.0,7102.112361825882,12100.0,984.8857801796105,647493.829138688,4856203.71854016,5505899.907641904,14636.89765323526,109776.73239926445,124463.41541866718,7.5
P14,1341600.0,12364.465212858986,25800.0,1714.6428199482248,1373448.7518179931,6523881.571135467,7396691.123736357,30216.627220742357,143528.9792985262,162731.26904594805,4.75
P15,488800.0,8208.075292052334,9400.0,1138.2552437832212,509942.6008630041,3824569.506472531,4336246.605977926,12331.95121185502,92489.63408891264,104863.53071305288,7.5
P16,696800.0,17340.41521994211,13400.0,2404.6829312822097,741465.9496592323,7414659.496592322,8406643.4201727,19594.05276014058,195940.5276014058,222154.7931988728,10.0
P17,800800.0,7582.380892569299,15400.0,1051.4870422406545,820330.9188937492,5947399.161979682,6743082.950090342,18108.45113570544,131286.27073386442,148850.64709054923,7.25
P18,1076400.0,9409.038208021051,20700.0,1304.7988350699889,1100636.0763344318,6878975.477090199,7799291.924138547,24060.939074609745,150380.8692163109,170499.85171917337,6.25
P19,1528800.0,21163.23462989531,29400.0,2934.812600490873,1583312.8799175653,16624785.239134435,18848962.85616149,36959.576296768944,388075.5511160739,439994.955913916,10.5
P20,1242800.0,16156.732342896568,23900.0,2240.535650240808,1284416.9846184293,7385397.661555968,8373466.736458014,29671.237383536263,170609.61495533353,193434.9375910811,5.75
