Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Weekly Avg)
P1,1200.0,3000.0,11600.0,6400.0,2100.0,0.0,0.0,3000.0,0.0,27300.0
P2,4800.0,0.0,5800.0,3200.0,0.0,0.0,0.0,1500.0,0.0,15300.0
P3,0.0,0.0,0.0,6400.0,2100.0,3000.0,4000.0,1500.0,0.0,17000.0
P4,0.0,1500.0,5800.0,3200.0,0.0,0.0,0.0,0.0,0.0,10500.0
P5,0.0,1500.0,5800.0,0.0,0.0,1500.0,1000.0,0.0,0.0,9800.0
P6,1200.0,0.0,0.0,0.0,4200.0,0.0,0.0,4500.0,0.0,9900.0
P7,0.0,6000.0,0.0,0.0,8400.0,0.0,1000.0,1500.0,0.0,16900.0
P8,0.0,0.0,0.0,6400.0,0.0,3000.0,2000.0,4500.0,0.0,15900.0
P9,0.0,3000.0,5800.0,0.0,0.0,1500.0,2000.0,0.0,0.0,12300.0
P10,1200.0,0.0,2900.0,1600.0,0.0,0.0,0.0,1500.0,0.0,7200.0
P11,2400.0,0.0,0.0,0.0,8400.0,6000.0,2000.0,0.0,0.0,18800.0
P12,4800.0,0.0,0.0,0.0,8400.0,4500.0,4000.0,0.0,0.0,21700.0
P13,2400.0,0.0,0.0,0.0,4200.0,3000.0,1000.0,0.0,0.0,10600.0
P14,0.0,6000.0,5800.0,3200.0,4200.0,0.0,0.0,6000.0,0.0,25200.0
P15,0.0,0.0,0.0,3200.0,0.0,3000.0,0.0,1500.0,0.0,7700.0
P16,0.0,1500.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,13100.0
P17,2400.0,0.0,0.0,0.0,4200.0,3000.0,2000.0,1500.0,0.0,13100.0
P18,4800.0,1500.0,0.0,0.0,8400.0,1500.0,3000.0,0.0,0.0,19200.0
P19,0.0,3000.0,11600.0,6400.0,2100.0,0.0,0.0,4500.0,0.0,27600.0
P20,0.0,3000.0,8700.0,4800.0,0.0,0.0,0.0,6000.0,0.0,22500.0
