Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Annual Avg)
P1,78000.0,208000.0,561600.0,291200.0,93600.0,0.0,0.0,124800.0,0.0,1357200.0
P2,312000.0,0.0,280800.0,145600.0,0.0,0.0,0.0,62400.0,0.0,800800.0
P3,0.0,0.0,0.0,291200.0,93600.0,104000.0,104000.0,62400.0,0.0,655200.0
P4,0.0,104000.0,280800.0,145600.0,0.0,0.0,0.0,0.0,0.0,530400.0
P5,0.0,104000.0,280800.0,0.0,0.0,52000.0,26000.0,0.0,0.0,462800.0
P6,78000.0,0.0,0.0,0.0,187200.0,0.0,0.0,187200.0,0.0,452400.0
P7,0.0,416000.0,0.0,0.0,374400.0,0.0,26000.0,62400.0,0.0,878800.0
P8,0.0,0.0,0.0,291200.0,0.0,104000.0,52000.0,187200.0,0.0,634400.0
P9,0.0,208000.0,280800.0,0.0,0.0,52000.0,52000.0,0.0,0.0,592800.0
P10,78000.0,0.0,140400.0,72800.0,0.0,0.0,0.0,62400.0,0.0,353600.0
P11,156000.0,0.0,0.0,0.0,374400.0,208000.0,52000.0,0.0,0.0,790400.0
P12,312000.0,0.0,0.0,0.0,374400.0,156000.0,104000.0,0.0,0.0,946400.0
P13,156000.0,0.0,0.0,0.0,187200.0,104000.0,26000.0,0.0,0.0,473200.0
P14,0.0,416000.0,280800.0,145600.0,187200.0,0.0,0.0,249600.0,0.0,1279200.0
P15,0.0,0.0,0.0,145600.0,0.0,104000.0,0.0,62400.0,0.0,312000.0
P16,0.0,104000.0,561600.0,0.0,0.0,0.0,0.0,0.0,0.0,665600.0
P17,156000.0,0.0,0.0,0.0,187200.0,104000.0,52000.0,62400.0,0.0,561600.0
P18,312000.0,104000.0,0.0,0.0,374400.0,52000.0,78000.0,0.0,0.0,920400.0
P19,0.0,208000.0,561600.0,291200.0,93600.0,0.0,0.0,187200.0,0.0,1341600.0
P20,0.0,208000.0,421200.0,218400.0,0.0,0.0,0.0,249600.0,0.0,1097200.0
