Part,Annual_Demand_Mean_Units,Annual_Demand_StdDev_Units,Weekly_Demand_Mean_Units,Weekly_Demand_StdDev_Units,Annual_Robust_Demand_99p5_Units,Annual_Robust_Net_Minutes,Annual_Robust_Gross_Minutes,Weekly_Robust_Demand_99p5_Units,Weekly_Robust_Net_Minutes,Weekly_Robust_Gross_Minutes,Total_Minutes_Per_Unit
P1,1549600.0,25052.744360648398,29800.0,3474.1905532080423,1614131.5930584776,20580177.81149559,23333534.933668472,38748.92183306604,494048.75337159197,560145.978879356,12.75
P2,769600.0,12783.192089615175,14800.0,1772.7097901235836,802527.3207773253,6219586.736024271,7051685.641750874,19366.197824088347,150088.03313668468,170167.83802345203,7.75
P3,1398800.0,17496.251027005757,26900.0,2426.29346947149,1443867.356097609,13716739.882927286,15551859.277695335,33149.71781767399,314922.31926790293,357054.7837504568,9.5
P4,577200.0,12427.389106324788,11100.0,1723.3687939614088,609210.8330266757,4569081.247700068,5180364.226417311,15539.103840307524,116543.27880230642,132135.23673730888,7.5
P5,629200.0,10860.791867999313,12100.0,1506.120845085148,657175.5459533383,4928816.594650037,5588227.431576005,15979.510207456158,119846.32655592119,135880.1888389129,7.5
P6,650000.0,5456.1891462814965,12500.0,756.6372975210779,664054.2118886973,6972569.224831322,7905407.284389254,14448.96852311284,151714.16949268483,172011.53003705762,10.5
P7,884000.0,9321.308920961692,17000.0,1292.6329718833574,908010.1006660449,9080101.006660448,10294899.10052205,20329.601887710654,203296.01887710654,230494.35246837477,10.0
P8,1279200.0,16751.035788869896,24600.0,2322.950709765492,1322347.8088497675,6281152.092036396,7121487.632694326,30583.52450891367,145271.74141733994,164707.18981557817,4.75
P9,759200.0,11272.40879315508,14600.0,1563.2018423735303,788235.8008909911,6700004.307573425,7596376.765956264,18626.54111294737,158325.59946005265,179507.48238101206,8.5
P10,416000.0,6337.980750996329,8000.0,878.9197915623473,432325.5565437452,2810116.117534344,3186072.69561717,10263.947354575386,66715.65780474001,75641.33537952382,6.5
P11,1445600.0,17176.355841679575,27800.0,2381.9319889535054,1489843.3607051815,5959373.442820726,6756659.232223045,33935.450216206955,135741.80086482782,153902.26855422655,4.0
P12,1549600.0,15507.056458270861,29800.0,2150.4418150696383,1589543.5304370013,9537261.182622008,10813221.295489805,35339.17104283326,212035.02625699955,240402.52410090654,6.0
P13,748800.0,8678.52522033554,14400.0,1203.494910666431,771154.3995741284,5783657.996805963,6557435.370528303,17499.99745756656,131249.9809317492,148809.50219019182,7.5
P14,1393600.0,14130.817386124554,26800.0,1959.5917942265426,1429998.573506278,6792493.224154821,7701239.4831687305,31847.573966562697,151275.97634117282,171514.71240495786,4.75
P15,634400.0,10255.242561733974,12200.0,1422.1462653327892,660815.7543055163,4956118.157291372,5619181.58423058,15863.206024176829,118974.04518132622,134891.2076885785,7.5
P16,712400.0,20203.960007879643,13700.0,2801.78514522438,764441.9522360264,7644419.522360264,8667142.315601207,20916.920279316968,209169.20279316968,237153.29114871845,10.0
P17,967200.0,9167.180591654122,18600.0,1271.2592182556634,990813.0923989074,7183394.919892078,8144438.684684896,21874.546746789605,158590.46391422465,179807.7822156742,7.25
P18,1159600.0,10925.712791392607,22300.0,1515.1237573214937,1187742.771170228,7423392.319813925,8416544.580287896,26202.700172611818,163766.87607882387,185676.73024809963,6.25
P19,1638000.0,25158.895047279006,31500.0,3488.9110048839025,1702805.0191076926,17879452.700630773,20271488.322710626,40486.83920385419,425111.811640469,481986.1809982642,10.5
P20,1336400.0,19160.37577919598,25700.0,2657.0660511172846,1385753.8573990616,7968084.6800446035,9034109.614563042,32544.148595932864,187128.85442661398,212164.23404378002,5.75
