Part,Annual_Demand_Mean_Units,Annual_Demand_StdDev_Units,Weekly_Demand_Mean_Units,Weekly_Demand_StdDev_Units,Annual_Robust_Demand_99p5_Units,Annual_Robust_Net_Minutes,Annual_Robust_Gross_Minutes,Weekly_Robust_Demand_99p5_Units,Weekly_Robust_Net_Minutes,Weekly_Robust_Gross_Minutes,Total_Minutes_Per_Unit
P1,1357200.0,13238.202294873727,26100.0,1835.8083526589337,1391299.3493974442,17739066.704817414,20112320.52700387,30828.728950478715,393066.29411860363,445653.39469229436,12.75
P2,800800.0,8627.861844049197,15400.0,1196.4691644745642,823023.8993648734,6378435.220077769,7231785.963806994,18481.900334646252,143234.72759350846,162397.65033277604,7.75
P3,655200.0,6636.264009214823,12600.0,920.284237028472,672293.8833010225,6386791.891359713,7241260.647800128,14970.49510533208,142219.70350065475,161246.8293658217,9.5
P4,530400.0,6403.1242374328485,10200.0,887.9535677396304,546893.3550450437,4101700.162837828,4650453.699362617,12487.216819974534,93654.126149809,106183.81649638209,7.5
P5,462800.0,5866.003750424986,8900.0,813.4683578546675,477909.82435507246,3584323.6826630435,4063859.050638371,10995.355633671856,82465.16725253891,93497.92205503279,7.5
P6,452400.0,5307.54180388624,8700.0,736.023620022326,466071.321708261,4893748.87793674,5548468.115574536,10595.871208557648,111256.64768985531,126141.32391140057,10.5
P7,878800.0,10841.125402835261,16900.0,1503.393597063759,906724.8884960714,9067248.884960715,10280327.533969065,20772.485282084617,207724.85282084616,235515.7061460841,10.0
P8,634400.0,7022.819946431775,12200.0,973.8899005850398,652489.5854115667,3099325.5307049416,3513974.5246087774,14708.57414435727,69865.72718569703,79212.84261416897,4.75
P9,592800.0,6867.313885355758,11400.0,952.32508993677,610489.0283425676,5189156.740911825,5883397.665432908,13853.026873163974,117750.72842189377,133504.22723570722,8.5
P10,353600.0,3597.2211497209896,6800.0,498.8448194039443,362865.8276487972,2358627.879717182,2674181.2695206143,8084.939103744238,52552.104174337546,59582.88455140311,6.5
P11,790400.0,8822.698000045111,15200.0,1223.4880779652399,813125.7640448784,3252503.0561795137,3687645.188412147,18351.496443765587,73405.98577506235,83226.74124156729,4.0
P12,946400.0,10041.912168506555,18200.0,1392.5626625867756,972266.2516273034,5833597.50976382,6614056.13351907,21787.003713319096,130722.02227991458,148210.90961441564,6.0
P13,473200.0,5119.570294468082,9100.0,709.9566617325747,486387.13918606937,3647903.5438955203,4135945.061106032,10928.72717354052,81965.4538015539,92931.35351650103,7.5
P14,1279200.0,11704.699910719624,24600.0,1623.1498343083995,1309349.3090192778,6219409.217841569,7051484.373970034,28780.956907262116,136709.54530949506,154999.48447788556,4.75
P15,312000.0,3644.1734316577194,6000.0,505.35592940482593,321386.7687124783,2410400.765343587,2732880.6863305974,7301.71061168314,54762.82958762355,62089.37594968656,7.5
P16,665600.0,10983.624174196784,12800.0,1523.1546211727816,693891.9410070642,6938919.410070642,7867255.566973517,16723.386307052777,167233.86307052776,189607.55450173214,10.0
P17,561600.0,5329.165037789691,10800.0,739.0222230446432,575327.019467787,4171120.8911414556,4729162.008096889,12703.595098092243,92101.06446116876,104422.97557955641,7.25
P18,920400.0,9751.410154434076,17700.0,1352.2772815343185,945517.9680267156,5909487.300166972,6700098.979781147,21183.235448299543,132395.22155187215,150107.9609431657,6.25
P19,1341600.0,13423.859355639868,25800.0,1861.5543546683282,1376177.5702949762,14449864.48809725,16383066.31303543,30595.04625690374,321247.9856974893,364226.741153616,10.5
P20,1097200.0,11058.480908334563,21100.0,1533.535382451533,1125684.7591764242,6472687.365264439,7338647.806422266,25050.125376147727,144038.22091284944,163308.64049075902,5.75
