Part,Annual_Demand_Mean_Units,Annual_Demand_StdDev_Units,Weekly_Demand_Mean_Units,Weekly_Demand_StdDev_Units,Annual_Robust_Demand_99p5_Units,Annual_Robust_Net_Minutes,Annual_Robust_Gross_Minutes,Weekly_Robust_Demand_99p5_Units,Weekly_Robust_Net_Minutes,Weekly_Robust_Gross_Minutes,Total_Minutes_Per_Unit
P1,1419600.0,14119.844191774922,27300.0,1958.070085961803,1455970.3084307185,18563621.43249166,21047189.832756985,32343.654305822925,412381.5923992423,467552.82584948104,12.75
P2,795600.0,8316.850365372698,15300.0,1153.339632412026,817022.7868843584,6331926.598353777,7179055.100174351,18270.806022111214,141598.7466713619,160542.79667954866,7.75
P3,884000.0,8521.736912155879,17000.0,1181.752284338161,905950.5396554654,8606530.126726922,9757970.665223267,20043.992163534087,190417.92555357382,215893.3396299023,9.5
P4,546000.0,6791.906948714772,10500.0,941.8680292988953,563494.792945477,4226210.947091077,4791622.388992151,12926.091269943949,96945.68452457961,109915.74209136011,7.5
P5,509600.0,6256.1969278468205,9800.0,867.5784158750768,525714.8953755205,3942861.7153164037,4470364.756594562,12034.733906737558,90260.50430053168,102336.17267633977,7.5
P6,514800.0,6271.363488110062,9900.0,869.6816393635971,530953.9618458805,5575016.599381745,6320880.498165243,12140.1514514312,127471.59024002761,144525.6125170381,10.5
P7,878800.0,10479.02667235846,16900.0,1453.1795378516617,905792.1839753315,9057921.839753315,10269752.652781537,20643.142436915958,206431.42436915956,234049.23397863895,10.0
P8,826800.0,8614.52262171271,15900.0,1194.6193471626789,848989.5398050925,4032700.3140741894,4572222.578315407,18977.135521008084,90141.3937247884,102201.12667209569,4.75
P9,639600.0,6992.138442565336,12300.0,969.63514153124,657610.5550948306,5589689.71830606,6337516.687421837,14797.614611306954,125779.7241961091,142607.39704774274,8.5
P10,374400.0,3828.8379438153293,7200.0,530.9642896872415,384262.43297421944,2497705.8143324265,2831866.0026444746,8567.673376514424,55689.87694734376,63140.45005367773,6.5
P11,977600.0,10785.175010170211,18800.0,1495.6346736162134,1005380.7698350997,4021523.079340399,4559549.976576416,22652.49961970444,90609.99847881775,102732.42457915845,4.0
P12,1128400.0,11395.174417269795,21700.0,1580.2263713200666,1157752.0241830542,6946512.145098325,7875864.110088804,25770.393393486975,154622.36036092186,175308.7985951495,6.0
P13,551200.0,5779.273310719956,10600.0,801.4410098738973,566086.4215469705,4245648.161602279,4813660.047168117,12664.375238299008,94982.81428724255,107690.26563179427,7.5
P14,1310400.0,11555.08546052343,25200.0,1602.4020430879098,1340163.927734228,6365778.656737584,7217436.118750094,29327.514138652466,139305.6921585992,157942.96163106486,4.75
P15,400400.0,4635.730794599704,7700.0,642.8601953529483,412340.85122409393,3092556.3841807046,3506299.7553069214,9355.898129275294,70169.2359695647,79556.95688159263,7.5
P16,681200.0,11696.580696938743,13100.0,1622.0239019390372,711328.3953104992,7113283.953104992,8064947.792636046,17278.0566976713,172780.56697671302,195896.3344407177,10.0
P17,681200.0,6216.912416947821,13100.0,862.130634399005,697213.7051811712,5054799.362563491,5731065.036920058,15320.701351572161,111075.08479889817,125935.47029353534,7.25
P18,998400.0,10348.912986396204,19200.0,1435.1360160679492,1025057.0333302371,6406606.458313982,7263726.143213131,22896.66540476625,143104.15877978905,162249.61312901252,6.25
P19,1435200.0,14463.056385149026,27600.0,2005.6650537146795,1472454.364455747,15460770.826785343,17529218.624473177,32766.25081846225,344045.6335938536,390074.41450550297,10.5
P20,1170000.0,11988.744721612851,22500.0,1662.5397623932072,1200880.9599666975,6905065.51980851,7828872.471438221,26782.41863828765,153998.90717015398,174601.935567068,5.75
