Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Weekly Avg)
P1,900.0,2000.0,12400.0,7200.0,2400.0,0.0,0.0,3600.0,0.0,28500.0
P2,3600.0,0.0,6200.0,3600.0,0.0,0.0,0.0,1800.0,0.0,15200.0
P3,0.0,0.0,0.0,7200.0,2400.0,4000.0,6000.0,1800.0,0.0,21400.0
P4,0.0,1000.0,6200.0,3600.0,0.0,0.0,0.0,0.0,0.0,10800.0
P5,0.0,1000.0,6200.0,0.0,0.0,2000.0,1500.0,0.0,0.0,10700.0
P6,900.0,0.0,0.0,0.0,4800.0,0.0,0.0,5400.0,0.0,11100.0
P7,0.0,4000.0,0.0,0.0,9600.0,0.0,1500.0,1800.0,0.0,16900.0
P8,0.0,0.0,0.0,7200.0,0.0,4000.0,3000.0,5400.0,0.0,19600.0
P9,0.0,2000.0,6200.0,0.0,0.0,2000.0,3000.0,0.0,0.0,13200.0
P10,900.0,0.0,3100.0,1800.0,0.0,0.0,0.0,1800.0,0.0,7600.0
P11,1800.0,0.0,0.0,0.0,9600.0,8000.0,3000.0,0.0,0.0,22400.0
P12,3600.0,0.0,0.0,0.0,9600.0,6000.0,6000.0,0.0,0.0,25200.0
P13,1800.0,0.0,0.0,0.0,4800.0,4000.0,1500.0,0.0,0.0,12100.0
P14,0.0,4000.0,6200.0,3600.0,4800.0,0.0,0.0,7200.0,0.0,25800.0
P15,0.0,0.0,0.0,3600.0,0.0,4000.0,0.0,1800.0,0.0,9400.0
P16,0.0,1000.0,12400.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0
P17,1800.0,0.0,0.0,0.0,4800.0,4000.0,3000.0,1800.0,0.0,15400.0
P18,3600.0,1000.0,0.0,0.0,9600.0,2000.0,4500.0,0.0,0.0,20700.0
P19,0.0,2000.0,12400.0,7200.0,2400.0,0.0,0.0,5400.0,0.0,29400.0
P20,0.0,2000.0,9300.0,5400.0,0.0,0.0,0.0,7200.0,0.0,23900.0
