Part,A1,A2,A3,B1,B2,A4,B3,B4,A5,Total Demand (Annual Avg)
P1,46800.0,104000.0,644800.0,374400.0,124800.0,0.0,0.0,187200.0,0.0,1482000.0
P2,187200.0,0.0,322400.0,187200.0,0.0,0.0,0.0,93600.0,0.0,790400.0
P3,0.0,0.0,0.0,374400.0,124800.0,208000.0,312000.0,93600.0,0.0,1112800.0
P4,0.0,52000.0,322400.0,187200.0,0.0,0.0,0.0,0.0,0.0,561600.0
P5,0.0,52000.0,322400.0,0.0,0.0,104000.0,78000.0,0.0,0.0,556400.0
P6,46800.0,0.0,0.0,0.0,249600.0,0.0,0.0,280800.0,0.0,577200.0
P7,0.0,208000.0,0.0,0.0,499200.0,0.0,78000.0,93600.0,0.0,878800.0
P8,0.0,0.0,0.0,374400.0,0.0,208000.0,156000.0,280800.0,0.0,1019200.0
P9,0.0,104000.0,322400.0,0.0,0.0,104000.0,156000.0,0.0,0.0,686400.0
P10,46800.0,0.0,161200.0,93600.0,0.0,0.0,0.0,93600.0,0.0,395200.0
P11,93600.0,0.0,0.0,0.0,499200.0,416000.0,156000.0,0.0,0.0,1164800.0
P12,187200.0,0.0,0.0,0.0,499200.0,312000.0,312000.0,0.0,0.0,1310400.0
P13,93600.0,0.0,0.0,0.0,249600.0,208000.0,78000.0,0.0,0.0,629200.0
P14,0.0,208000.0,322400.0,187200.0,249600.0,0.0,0.0,374400.0,0.0,1341600.0
P15,0.0,0.0,0.0,187200.0,0.0,208000.0,0.0,93600.0,0.0,488800.0
P16,0.0,52000.0,644800.0,0.0,0.0,0.0,0.0,0.0,0.0,696800.0
P17,93600.0,0.0,0.0,0.0,249600.0,208000.0,156000.0,93600.0,0.0,800800.0
P18,187200.0,52000.0,0.0,0.0,499200.0,104000.0,234000.0,0.0,0.0,1076400.0
P19,0.0,104000.0,644800.0,374400.0,124800.0,0.0,0.0,280800.0,0.0,1528800.0
P20,0.0,104000.0,483600.0,280800.0,0.0,0.0,0.0,374400.0,0.0,1242800.0
